matko_type_id;type_name;SUOMEKSI;RUOTSIKSI;ENGLANNIKSI
4;SIGHTS & ATTRACTIONS;Nähtävyys ja kohde;;
90;SkateBoard;Rullalautailu;;
267;SkiingCrosscountry;Hiihto;;
38;SkiingDownhill;Laskettelu;;
142;SmartCasual;Smart casual;;
71;Souvenirs;Matkamuistot;;
35;Spa;Spa;;
236;Spanish;Espanjalainen;;
41;Speciality;Speciality;;
29;Sport;Urheilu;;
131;SportCenter;Urheilukeskus;;
210;SportOutdoor;SportOutdoor;;
246;StandUp;StandUp;;
283;StartUp;StartUp;;
224;StationaryShop;StationaryShop;;
175;StreetFood;Katuruoka;;
113;StreetStyle;Katumuoti;;
274;Sup;Suppailu;;
192;Sushi;Sushi;;
31;Swimming;Uinti;;
265;SwimmingHall;Uimahalli;;
239;Tea;Tee;;
279;Technical;Tekninen;;
216;Tennis;Tennis;;
193;Thai;Thaimaalainen;;
26;Theatre;Teatteri;;
299;TouristInformation;Matkailuneuvonta;;
102;ToyStore;Lelukauppa;;
146;TraditionalFinnish;Perinneruoka;;
298;TravelAgency;TravelAgency;;
195;Turkish;Turkkilainen;;
234;Vegan;Vegaani;;
117;Vegetarian;Kasvisruoka;;
225;VENUES;Tapahtumapaikat;;
197;Vietnamese;Vietnamilainen;;
218;Viewpoint;Näköala;;
126;Waterpark;Waterpark;;
206;Wellness;Hyvinvointi;;
198;Wine;Viini;;
284;WorkSpace;Työtila;;
226;WORK & STUDY;Työ ja opiskelu;;
264;Yoga;Jooga;;
