kaupunkialusta_id;ontologyword_ids
1274;214+326+914
1276;914
1280;577
1284;326
1286;214+326+914
1288;914
1291;915
1292;914
1293;214+326
1296;915
1299;214+326
1300;326
1301;214+326
1304;214+326
1307;869+919
1308;490
1309;490
1315;490
1318;214+868
1319;490
1320;490
1321;490
1322;490
1323;473
1324;869+919
1326;869
1333;473
1335;473
1336;473
1337;473
1338;473
1339;473
1340;473
1341;473
1342;473
1343;473
1344;326+914
1345;473
1346;473
1348;473
1349;214+326
1352;473
1359;961
1362;961
1365;914
1366;214+326+577
1367;473
1368;915
1369;326
1370;239
1373;473
1375;473
1376;214+326+577
1378;915
1385;915
1389;214+326+914
1393;473
1394;473
1395;473
1396;473
1398;473
1400;473
1401;473
1402;214
1403;239
1405;326
1406;326
1408;490
1410;490
1412;864
1417;490
1418;490
1419;490
1427;914
1428;914
1429;214+326
1434;577
1437;577
1440;490
1441;326
1442;577
1443;577
1448;490
1459;490
1460;490
1468;577
1469;577
1472;869
1473;869
1481;490
1482;490
1483;490
1485;490
1486;490
1487;490
1488;490
1489;490
1494;490
1495;914
1498;490
1504;490
1505;490
1507;490
1510;490
1511;490
1512;490
1519;915
1525;914
1526;473
1529;214+239+326+577
1532;239+490
1533;577
1539;473+868
1551;214+326
1552;326+868
1553;490
1556;490
1559;490
1560;868
1563;868
1568;326+914
1570;490
1575;473+868
1577;214+326
1578;917
1582;214
1583;490
1588;490
1592;214+326
1593;577+869+919
1594;577
1596;577
1602;577
1603;577
1609;868+920
1611;914
1612;917
1613;917
1614;917
1617;326+914
1619;490
1620;473
1623;239
1627;214+326
1631;915
1632;869+919
1643;326+914
1657;214
1668;914
1745;214+326
1746;214+326
1747;490
1749;239
1750;326
1752;868+917
1753;490
1754;214+326
1755;214+326+915
1760;915
1761;915
1762;916
1880;577
1884;864
1885;490+917
1886;917
1887;917
1888;917
1892;917
1893;917
1894;917
1900;916+917
1904;917
1906;917
1907;917
1908;917
1909;917
1911;917
1912;917
1913;917+918
1915;917
1916;917
1917;917
1919;917
1920;917
1921;917
1922;917
1923;917
1924;916
1925;916
1926;916
1927;916
1928;916
1939;577
1944;916
1950;214+326
1951;239
1952;326+869
1956;869
1957;869
1958;869
1959;869
1960;869
1965;490
1966;490
1968;577
1970;490
1971;868+920
1975;577
1979;577+869
1993;869+919
1995;577
1996;869
1999;577+869
2001;577
2002;577
2003;239
2008;214+326
2011;214+326
2014;577
2015;577
2017;577
2019;490+917
2020;577
2023;214+326
2025;577
2026;214+326+577
2027;914
2030;214+326
2033;214+326+868
2036;326
2038;214+326
2039;490
2043;577
2045;326
2047;914
2048;214+326
2051;868
2053;917
2056;577
2060;239+868+920
2061;917
2062;917
2073;214+326
2079;214+326
2092;214+326+914
2093;473+961
2094;577
2099;214+577
2102;326+914
2105;326+914
2106;914
2114;214
2116;915
2117;239
2120;214+577
2121;214
2128;868
2129;869
2133;473
2137;473+577+916
2140;490+915
2143;214+577
2147;214+326+917
2153;490
2155;868
2157;473
2158;473+868
2159;577
2162;473
2165;490
2166;490
2167;473+918
2168;490
2169;490
2171;490
2172;490
2175;214+326
2176;214+326+868
2177;868
2178;490
2181;868
2182;577
2184;914
2185;214+326
2187;917
2190;917+918
2192;577
2195;239+577
2197;239
2198;239
2199;239
2200;239+490
2201;577
2203;239+490+577
2204;239+490
2207;239
2210;490
2213;326+914
2216;326
2218;917
2219;917
2222;214+326
2223;916
2224;917
2226;868
2227;239+473+490+577
2233;214+326
2234;869+919
2237;239
2239;239+490
2240;490
2242;919
2247;214+326+577
2248;214+326+577
2249;214+577
2254;326+577
2255;490
2257;326+914
2259;490
2260;490
2266;577
2268;239
2269;577
2271;239
2274;214
2278;490
2279;490
2280;214+326
2282;914
2287;239+577
2289;239
2292;577
2295;915
2298;490
2305;869
2306;577
2308;577
2309;473
2312;864
2314;577
2316;473
2319;473+961
2322;473
2324;869+919
2334;869
2340;915
2341;473+490
2342;490
2343;577
2344;577
2347;577
2348;239+490
